name,target
APT1,technology
APT41,media
APT41,automotive
APT41,energy
APT41,entertainment
APT41,financial-services
APT41,education
APT41,healthcare
APT41,pharmaceuticals
APT41,transportation
APT41,telecommunications
APT41,technology
Dust Storm,energy
Elderwood,defense
Elderwood,education
Elderwood,energy
Elderwood,financial-services
Elderwood,government-national
FIN4,financial-services
FIN4,healthcare
FIN4,pharmaceuticals
Honeybee,non-profit
Kimsuky,defense
Machete,defense
Machete,government-national
Machete,telecommunications
Moafee,defense
Moafee,government-national
Night Dragon,energy
PittyTiger,defense
PittyTiger,government-national
PittyTiger,telecommunications
PittyTiger,technology
Silence,financial-services
Taidoor,government-national
The White Company,government-national
The White Company,defense
Threat Group-1314,unknown
WIRTE,government-national
WIRTE,defense
