product,version,update,release_date,advisory
jre,1.7,update75,2015-01,jse-0115
jre,1.7,update76,2015-01,*
jre,1.7,update79,2015-04,*
jre,1.7,update80,2015-04,jse-0415
jre,1.7,update85,2015-07,jse-0715
jre,1.7,update9,2012-10,jse-1012
jre,1.7,update91,2015-10,*
jre,1.7,update95,2016-01,*
jre,1.7,update97,2016-02,*
jre,1.7,update99,2016-03,*
jre,1.8,*,2014-03,*
jre,1.8,update101,2016-07,jse-0716
jre,1.8,update102,2016-07,jse-0716
jre,1.8,update11,2014-07,jse-0714
jre,1.8,update111,2016-10,jse-1016
jre,1.8,update112,2016-10,jse-1016
jre,1.8,update121,2017-01,jse-0117
jre,1.8,update131,2017-04,jse-0417
jre,1.8,update141,2017-07,jse-0717
jre,1.8,update144,2017-07,*
jre,1.8,update151,2017-10,jse-1017
jre,1.8,update152,2017-10,*
jre,1.8,update161,2018-01,jse-0118
jre,1.8,update162,2018-01,*
jre,1.8,update171,2018-04,jse-0418
jre,1.8,update172,2018-04,*
jre,1.8,update181,2018-07,jse-0718
jre,1.8,update191,2018-10,jse-1018
jre,1.8,update192,2018-10,*
jre,1.8,update20,2014-08,*
jre,1.8,update201,2019-01,jse-0119
jre,1.8,update202,2019-01,*
jre,1.8,update211,2019-04,*
jre,1.8,update212,2019-05,*
jre,1.8,update221,2019-07,*
jre,1.8,update231,2019-10,*
jre,1.8,update241,2020-01,jse-0120
jre,1.8,update25,2014-10,jse-1014
jre,1.8,update251,2020-04,jse-0420
jre,1.8,update251,2020-04,jse-0420
jre,1.8,update261,2020-07,jse-0720
jre,1.8,update261,2020-07,jse-0720
jre,1.8,update31,2015-01,jse-0115
jre,1.8,update40,2015-03,*
jre,1.8,update45,2015-04,jse-0415
jre,1.8,update5,2014-04,jse-0414
jre,1.8,update51,2015-07,jse-0715
jre,1.8,update60,2015-08,*
jre,1.8,update60,2015-08,*
jre,1.8,update65,2015-10,jse-1015
jre,1.8,update66,2015-10,jse-1015
jre,1.8,update71,2016-01,jse-0116
jre,1.8,update72,2016-01,jse-0116
jre,1.8,update73,2016-02,*
jre,1.8,update74,2016-02,*
jre,1.8,update77,2016-03,jse-0316
jre,1.8,update91,2016-04,jse-0416
jre,1.8,update92,2016-04,jse-0416
jre,9,*,2017-09,*
jre,9.0.1,*,2017-10,jse-1017
jre,9.0.4,*,2018-01,jse-0118
