"APT","country","campaign","vulnerability","exploited_time","reserved_time","published_time"
"APT28","Russia","298756","CVE-2015-7645","2015-10-01","2015-10-01","2015-10-01"
"APT28","Russia","298746","CVE-2015-2590","2015-07-01","2015-03-01","2015-07-01"
"APT28","Russia","298746","CVE-2015-4902","2015-07-01","2015-06-01","2015-10-01"
"APT28","Russia","298746","CVE-2015-2424","2015-07-01","2015-03-01","2015-07-01"
"APT28","Russia","298748","CVE-2010-3333","2011-10-01","2010-09-01","2010-11-01"
"APT28","Russia","298749","CVE-2015-1701","2015-04-01","2015-02-01","2015-04-01"
"APT28","Russia","298749","CVE-2014-1761","2015-04-01","2014-01-01","2014-03-01"
"APT28","Russia","298749","CVE-2015-3043","2015-04-01","2015-04-01","2015-04-01"
"APT28","Russia","298747","CVE-2012-0158","2012-01-01","2011-12-01","2012-04-01"
"APT28","Russia","298755","CVE-2017-11292","2017-10-01","2017-07-01","2017-10-01"
"APT28","Russia","298757","CVE-2017-0262","2017-03-01","2016-09-01","2017-05-01"
"APT28","Russia","298757","CVE-2017-0263","2017-03-01","2016-09-01","2017-05-01"
"Sandworm Team","Russia","298847","CVE-2014-4114","2014-08-01","2014-06-01","2014-10-01"
"Sandworm Team","Russia","298848","CVE-2014-6352","2014-10-01","2014-09-01","2014-10-01"
"Sandworm Team","Russia","298851","CVE-2014-1761","2014-09-01","2014-01-01","2014-03-01"
"Sandworm Team","Russia","298851","CVE-2010-3333","2014-09-01","2010-09-01","2010-11-01"
"Sandworm Team","Russia","298851","CVE-2012-0158","2014-09-01","2011-12-01","2012-04-01"
"Sandworm Team","Russia","298852","CVE-2013-3906","2014-06-01","2013-06-01","2013-11-01"
"RTM","Russia","298844","CVE-2012-0158","2015-10-01","2011-12-01","2012-04-01"
"RTM","Russia","298844","CVE-2015-2545","2015-10-01","2015-03-01","2015-09-01"
"RTM","Russia","298844","CVE-2015-1641","2015-10-01","2015-02-01","2015-04-01"
"RTM","Russia","298846","CVE-2016-4117","2016-10-01","2016-04-01","2016-05-01"
"APT29","Russia","298761","CVE-2015-1641","2015-04-01","2015-02-01","2015-04-01"
"APT29","Russia","298760","CVE-2013-0640","2013-02-01","2012-12-01","2013-02-01"
"Dragonfly","Russia","299106","CVE-2013-2465","2014-02-01","2013-03-01","2013-06-01"
"Cobalt Group","Russia","298804","CVE-2017-0199","2017-05-01","2016-09-01","2017-04-01"
"Cobalt Group","Russia","298803","CVE-2015-1641","2016-06-01","2015-02-01","2015-04-01"
"Cobalt Group","Russia","298809","CVE-2017-11882","2018-06-01","2017-07-01","2017-11-01"
"Cobalt Group","Russia","298809","CVE-2017-8570","2018-06-01","2017-05-01","2017-07-01"
"Cobalt Group","Russia","298809","CVE-2018-0802","2018-06-01","2017-12-01","2018-01-01"
"Cobalt Group","Russia","298809","CVE-2018-8174","2018-06-01","2018-03-01","2018-05-01"
"Cobalt Group","Russia","298806","CVE-2017-11882","2017-11-01","2017-07-01","2017-11-01"
"Cobalt Group","Russia","298807","CVE-2017-8759","2017-09-01","2017-05-01","2017-09-01"
"Cobalt Group","Russia","298808","CVE-2017-11882","2018-01-01","2017-07-01","2017-11-01"
"APT32","Vietnam","298773","CVE-2017-11882","2018-06-01","2017-07-01","2017-11-01"
"OilRig","Iran","299190","CVE-2017-0199","2017-08-01","2016-09-01","2017-04-01"
"OilRig","Iran","299193","CVE-2017-11882","2017-11-01","2017-07-01","2017-11-01"
"MuddyWater","Iran","299236","CVE-2017-0199","2019-05-01","2016-09-01","2017-04-01"
"Group5","Iran","299150","CVE-2014-4114","2015-10-01","2014-06-01","2014-10-01"
"DarkHydrus","Iran","299091","CVE-2018-8414","2018-07-01","2018-03-01","2018-08-01"
"CopyKittens","Iran","298811","CVE-2017-0199","2017-04-01","2016-09-01","2017-04-01"
"APT33","Iran","298779","CVE-2017-0213","2017-11-01","2016-09-01","2017-05-01"
"APT33","Iran","298777","CVE-2017-11774","2018-07-01","2017-07-01","2017-10-01"
"APT33","Iran","298776","CVE-2018-20250","2019-02-01","2018-12-01","2019-02-01"
"Kimsuky","North Korea","299161","CVE-2018-8174","2019-03-01","2018-03-01","2018-05-01"
"Lazarus Group","North Korea","298831","CVE-2018-4878","2018-02-01","2018-01-01","2018-02-01"
"Lazarus Group","North Korea","298825","CVE-2015-6585","2015-10-01","2015-08-01","2017-07-01"
"Lazarus Group","North Korea","298836","CVE-2019-3396","2019-05-01","2018-12-01","2019-03-01"
"Lazarus Group","North Korea","298835","CVE-2018-20250","2019-03-01","2018-12-01","2019-02-01"
"Lazarus Group","North Korea","298827","CVE-2015-8651","2017-01-01","2015-12-01","2015-12-01"
"Lazarus Group","North Korea","298827","CVE-2016-1019","2017-01-01","2015-12-01","2016-04-01"
"Lazarus Group","North Korea","298827","CVE-2016-0034","2017-01-01","2015-12-01","2016-01-01"
"Lazarus Group","North Korea","298827","CVE-2016-4117","2017-01-01","2016-04-01","2016-05-01"
"Lazarus Group","North Korea","298829","CVE-2017-0144","2017-05-01","2016-09-01","2017-03-01"
"Lazarus Group","North Korea","298829","CVE-2017-0145","2017-05-01","2016-09-01","2017-03-01"
"Lazarus Group","North Korea","298826","CVE-2016-7256","2016-10-01","2016-09-01","2016-11-01"
"Lazarus Group","North Korea","298826","CVE-2016-0189","2016-10-01","2015-12-01","2016-05-01"
"APT37","North Korea","298789","CVE-2015-2419","2016-04-01","2015-03-01","2015-07-01"
"APT37","North Korea","298787","CVE-2015-2545","2016-10-01","2015-03-01","2015-09-01"
"APT37","North Korea","298788","CVE-2015-7645","2016-06-01","2015-10-01","2015-10-01"
"APT37","North Korea","298786","CVE-2015-2387","2016-11-01","2015-03-01","2015-07-01"
"APT37","North Korea","298784","CVE-2013-4979","2017-05-01","2013-07-01","2014-01-01"
"APT37","North Korea","298783","CVE-2017-0199","2017-04-01","2016-09-01","2017-04-01"
"APT37","North Korea","298780","CVE-2016-4171","2016-03-01","2016-04-01","2016-06-01"
"APT37","North Korea","298781","CVE-2016-4117","2016-05-01","2016-04-01","2016-05-01"
"APT37","North Korea","298781","CVE-2014-8439","2016-05-01","2014-10-01","2014-11-01"
"APT37","North Korea","298781","CVE-2015-5119","2016-05-01","2015-06-01","2015-07-01"
"APT37","North Korea","298781","CVE-2016-1019","2016-05-01","2015-12-01","2016-04-01"
"APT37","North Korea","298781","CVE-2015-5122","2016-05-01","2015-06-01","2015-07-01"
"APT37","North Korea","298785","CVE-2018-4878","2017-10-01","2018-01-01","2018-02-01"
"APT37","North Korea","298790","CVE-2015-3105","2015-07-01","2015-04-01","2015-06-01"
"Silence","Unknown","299207","CVE-2017-11882","2018-05-01","2017-07-01","2017-11-01"
"Silence","Unknown","299204","CVE-2017-0143","2017-08-01","2016-09-01","2017-03-01"
"Silence","Unknown","299204","CVE-2008-4250","2017-08-01","2008-09-01","2008-10-01"
"Silence","Unknown","299204","CVE-2017-0263","2017-08-01","2016-09-01","2017-05-01"
"Silence","Unknown","299204","CVE-2017-0262","2017-08-01","2016-09-01","2017-05-01"
"Tropic Trooper","Unknown","298881","CVE-2012-0158","2016-08-01","2011-12-01","2012-04-01"
"Tropic Trooper","Unknown","298882","CVE-2017-0199","2018-01-01","2016-09-01","2017-04-01"
"Tropic Trooper","Unknown","298882","CVE-2018-0802","2018-01-01","2017-12-01","2018-01-01"
"Tropic Trooper","Unknown","298882","CVE-2017-11882","2018-01-01","2017-07-01","2017-11-01"
"Tropic Trooper","Unknown","298880","CVE-2010-3333","2012-02-01","2010-09-01","2010-11-01"
"Tropic Trooper","Unknown","298880","CVE-2012-0158","2012-02-01","2011-12-01","2012-04-01"
"Dust Storm","Unknown","299117","CVE-2010-1885","2011-10-01","2010-05-01","2010-06-01"
"Dust Storm","Unknown","299120","CVE-2014-0322","2014-02-01","2013-12-01","2014-02-01"
"Dust Storm","Unknown","299119","CVE-2013-5990","2013-03-01","2013-10-01","2013-11-01"
"Dust Storm","Unknown","299118","CVE-2011-0611","2012-06-01","2011-01-01","2011-04-01"
"Dust Storm","Unknown","299118","CVE-2012-1889","2012-06-01","2012-03-01","2012-06-01"
"Dust Storm","Unknown","299115","CVE-2011-1255","2011-06-01","2011-03-01","2011-06-01"
"Dust Storm","Unknown","299116","CVE-2011-0611","2011-04-01","2011-01-01","2011-04-01"
"The White Company","Unknown","299218","CVE-2015-1641","2017-08-01","2015-02-01","2015-04-01"
"NEODYMIUM","Unknown","299185","CVE-2017-8759","2017-07-01","2017-05-01","2017-09-01"
"NEODYMIUM","Unknown","299184","CVE-2016-4117","2016-05-01","2016-04-01","2016-05-01"
"FIN8","Unknown","299136","CVE-2016-0167","2016-03-01","2015-12-01","2016-04-01"
"BlackOasis","Unknown","298793","CVE-2016-4117","2016-05-01","2016-04-01","2016-05-01"
"BlackOasis","Unknown","298794","CVE-2016-0984","2015-06-01","2015-12-01","2016-02-01"
"BlackOasis","Unknown","298794","CVE-2015-5119","2015-06-01","2015-06-01","2015-07-01"
"BlackOasis","Unknown","298796","CVE-2017-8759","2017-09-01","2017-05-01","2017-09-01"
"BlackOasis","Unknown","298795","CVE-2017-11292","2017-10-01","2017-07-01","2017-10-01"
"Carbanak","Ukraine","298802","CVE-2017-8570","2018-03-01","2017-05-01","2017-07-01"
"Carbanak","Ukraine","298802","CVE-2018-0802","2018-03-01","2017-12-01","2018-01-01"
"Carbanak","Ukraine","298802","CVE-2017-11882","2018-03-01","2017-07-01","2017-11-01"
"Carbanak","Ukraine","298800","CVE-2015-2426","2015-08-01","2015-03-01","2015-07-01"
"Carbanak","Ukraine","298800","CVE-2015-1770","2015-08-01","2015-02-01","2015-06-01"
"Carbanak","Ukraine","298801","CVE-2014-1761","2013-10-01","2014-01-01","2014-03-01"
"Carbanak","Ukraine","298801","CVE-2012-2539","2013-10-01","2012-05-01","2012-12-01"
"Carbanak","Ukraine","298801","CVE-2013-3906","2013-10-01","2013-06-01","2013-11-01"
"Carbanak","Ukraine","298801","CVE-2012-0158","2013-10-01","2011-12-01","2012-04-01"
"Darkhotel","South Korea","298820","CVE-2016-4117","2016-04-01","2016-04-01","2016-05-01"
"Darkhotel","South Korea","298815","CVE-2017-11869","2017-03-01","2017-07-01","2017-11-01"
"Darkhotel","South Korea","298815","CVE-2016-0189","2017-03-01","2015-12-01","2016-05-01"
"Darkhotel","South Korea","298819","CVE-2015-8651","2015-11-01","2015-12-01","2015-12-01"
"Darkhotel","South Korea","298818","CVE-2020-0674","2020-01-01","2016-09-01","2020-02-01"
"Darkhotel","South Korea","298814","CVE-2015-5119","2015-07-01","2015-06-01","2015-07-01"
"Darkhotel","South Korea","298816","CVE-2018-8174","2018-04-01","2018-03-01","2018-05-01"
"Darkhotel","South Korea","298813","CVE-2014-0497","2014-02-01","2013-12-01","2014-02-01"
"Darkhotel","South Korea","298817","CVE-2018-8373","2018-08-01","2018-03-01","2018-08-01"
"Equation","USA","299124","CVE-2010-2568","2008-12-01","2010-06-01","2010-07-01"
"Equation","USA","299124","CVE-2009-1123","2008-12-01","2009-03-01","2009-06-01"
"Gorgon Group","Pakistan","299147","CVE-2012-0158","2017-07-01","2011-12-01","2012-04-01"
"Patchwork","India","299197","CVE-2017-0199","2017-07-01","2016-09-01","2017-04-01"
"Patchwork","India","299197","CVE-2012-1856","2017-07-01","2012-03-01","2012-08-01"
"Patchwork","India","299197","CVE-2017-8570","2017-07-01","2017-05-01","2017-07-01"
"Patchwork","India","299197","CVE-2014-4114","2017-07-01","2014-06-01","2014-10-01"
"Patchwork","India","299196","CVE-2015-2545","2018-01-01","2015-03-01","2015-09-01"
"Patchwork","India","299196","CVE-2017-0261","2018-01-01","2016-09-01","2017-05-01"
"Patchwork","India","299195","CVE-2017-8570","2018-03-01","2017-05-01","2017-07-01"
"Patchwork","India","299194","CVE-2014-4114","2015-12-01","2014-06-01","2014-10-01"
"Patchwork","India","299194","CVE-2015-1641","2015-12-01","2015-02-01","2015-04-01"
"Patchwork","India","299194","CVE-2012-0158","2015-12-01","2011-12-01","2012-04-01"
"Patchwork","India","299194","CVE-2014-6352","2015-12-01","2014-09-01","2014-10-01"
"PROMETHIUM","Turkey","298838","CVE-2016-4117","2016-05-01","2016-04-01","2016-05-01"
"Stealth Falcon","UAE","298859","CVE-2016-3393","2016-03-01","2016-03-01","2016-10-01"
"Stealth Falcon","UAE","298862","CVE-2018-8453","2018-08-01","2018-03-01","2018-10-01"
"Stealth Falcon","UAE","298863","CVE-2019-0797","2019-02-01","2018-11-01","2019-04-01"
"Stealth Falcon","UAE","298861","CVE-2018-8589","2018-10-01","2018-03-01","2018-11-01"
"Stealth Falcon","UAE","298861","CVE-2018-8611","2018-10-01","2018-03-01","2018-12-01"
"Stealth Falcon","UAE","298860","CVE-2016-4655","2016-08-01","2016-05-01","2016-08-01"
"Stealth Falcon","UAE","298860","CVE-2016-4657","2016-08-01","2016-05-01","2016-08-01"
"Stealth Falcon","UAE","298860","CVE-2016-4656","2016-08-01","2016-05-01","2016-08-01"
"Stealth Falcon","UAE","298864","CVE-2018-5002","2018-06-01","2018-01-01","2018-07-01"
"PittyTiger","China","299198","Spearphishing Attachment","2014-05-01","",""
"Scarlet Mimic","China","298854","Drive-by Compromise","2013-08-01","",""
"Scarlet Mimic","China","298853","Spearphishing Attachment","2013-01-01","",""
"Leviathan","China","299166","Spearphishing Attachment","2014-11-01","",""
"Leviathan","China","299168","Spearphishing Link","2018-07-01","",""
"Leviathan","China","299164","Spearphishing Attachment","2017-09-01","",""
"Leviathan","China","299164","Spearphishing Link","2017-09-01","",""
"Leviathan","China","299165","Spearphishing Link","2017-08-01","",""
"Leviathan","China","299167","Spearphishing Attachment","2018-01-01","",""
"Thrip","China","298879","Unknown","2018-06-01","",""
"Elderwood","China","299121","Unknown","2009-06-01","",""
"Elderwood","China","299123","Drive-by Compromise","2012-05-01","",""
"Elderwood","China","299122","Drive-by Compromise","2010-11-01","",""
"APT41","China","299081","Exploit Public-Facing Application","2020-03-01","",""
"APT41","China","299079","Exploit Public-Facing Application","2019-04-01","",""
"APT41","China","299078","Supply Chain Compromise","2018-07-01","",""
"APT41","China","298918","Valid Accounts","2017-07-01","",""
"APT41","China","298920","Valid Accounts","2018-05-01","",""
"APT41","China","298914","Supply Chain Compromise","2014-12-01","",""
"APT41","China","298915","Spearphishing Attachment","2016-07-01","",""
"APT41","China","298919","Spearphishing Attachment","2017-10-01","",""
"APT41","China","299080","External Remote Services","2020-01-01","",""
"APT41","China","298917","Supply Chain Compromise","2017-07-01","",""
"APT41","China","299077","Spearphishing Attachment","2018-06-01","",""
"APT41","China","299077","Supply Chain Compromise","2018-06-01","",""
"APT41","China","298916","Supply Chain Compromise","2017-03-01","",""
"menuPass","China","299179","Spearphishing Attachment","2017-07-01","",""
"menuPass","China","299181","Spearphishing Attachment","2018-07-01","",""
"menuPass","China","299178","Drive-by Compromise","2017-02-01","",""
"menuPass","China","299177","Spearphishing Attachment","2016-09-01","",""
"menuPass","China","299180","Spearphishing Attachment","2018-01-01","",""
"Lotus Blossom","China","299169","Spearphishing Attachment","2012-06-01","",""
"Lotus Blossom","China","299172","Spearphishing Link","2015-11-01","",""
"Lotus Blossom","China","299170","Spearphishing Attachment","2014-11-01","",""
"Lotus Blossom","China","299171","Spearphishing Attachment","2018-01-01","",""
"APT19","China","298743","Spearphishing Attachment","2017-06-01","",""
"APT19","China","298742","Drive-by Compromise","2014-11-01","",""
"APT19","China","298744","Spearphishing Attachment","2017-04-01","",""
"Rancor","China","298843","Spearphishing Attachment","2018-12-01","",""
"Rancor","China","298840","Spearphishing Link","2018-02-01","",""
"Rancor","China","298841","Spearphishing Attachment","2018-02-01","",""
"Rancor","China","298842","Spearphishing Attachment","2017-12-01","",""
"APT12","China","298728","Drive-by Compromise","2016-11-01","",""
"APT12","China","298727","Spearphishing Attachment","2011-02-01","",""
"APT12","China","298731","Spearphishing Attachment","2011-04-01","",""
"APT12","China","298729","Unknown","2013-09-01","",""
"APT12","China","298730","Spearphishing Attachment","2014-08-01","",""
"Naikon","China","299183","Spearphishing Attachment","2014-03-01","",""
"Naikon","China","299182","Spearphishing Attachment","2012-10-01","",""
"admin@338","China","298726","Spearphishing Attachment","2009-12-01","",""
"admin@338","China","298725","Spearphishing Attachment","2015-08-01","",""
"admin@338","China","298724","Spearphishing Attachment","2013-10-01","",""
"Threat Group-3390","China","298873","Spearphishing Attachment","2010-04-01","",""
"Threat Group-3390","China","298875","Drive-by Compromise","2015-08-01","",""
"Threat Group-3390","China","298877","Drive-by Compromise","2017-10-01","",""
"Threat Group-3390","China","298878","Exploit Public-Facing Application","2019-04-01","",""
"Threat Group-3390","China","298874","Spearphishing Attachment","2013-04-01","",""
"Threat Group-3390","China","298876","Spearphishing Attachment","2017-07-01","",""
"APT18","China","298741","Spearphishing Link","2015-06-01","",""
"APT18","China","298739","Spearphishing Attachment","2015-07-01","",""
"APT18","China","298740","Spearphishing Attachment","2015-07-01","",""
"Winnti Group","China","298894","Spearphishing Attachment","2017-07-01","",""
"Winnti Group","China","298890","Drive-by Compromise","2013-04-01","",""
"Winnti Group","China","298891","Spearphishing Attachment","2013-10-01","",""
"Winnti Group","China","298897","Spearphishing Attachment","2019-03-01","",""
"Winnti Group","China","298898","Unknown","2019-11-01","",""
"Winnti Group","China","298895","Spearphishing Link","2017-02-01","",""
"Winnti Group","China","298893","Unknown","2016-10-01","",""
"Winnti Group","China","298889","Spearphishing Attachment","2011-02-01","",""
"Winnti Group","China","298896","Spearphishing Link","2018-03-01","",""
"Winnti Group","China","298892","Unknown","2018-02-01","",""
"Night Dragon","China","299186","Spearphishing Link","2009-11-01","",""
"TA459","China","298869","Spearphishing Attachment","2017-04-01","",""
"APT16","China","298732","Spearphishing Attachment","2015-11-01","",""
"Taidoor","China","299215","Spearphishing Attachment","2014-03-01","",""
"Taidoor","China","299217","Spearphishing Attachment","2012-09-01","",""
"Taidoor","China","299216","Spearphishing Attachment","2013-11-01","",""
"Taidoor","China","299213","Spearphishing Attachment","2011-10-01","",""
"Taidoor","China","299214","Spearphishing Attachment","2011-06-01","",""
"Putter Panda","China","298839","Spearphishing Link","2017-02-01","",""
"Putter Panda","China","298839","Spearphishing Attachment","2017-02-01","",""
