product,version,update,release_date,advisory
office,2016-*,4011574,2018-01,CVE-2018-0807
office,2016-*,4011574,2018-01,CVE-2018-0806
office,2016-*,4011574,2018-01,CVE-2018-0806
office,2016-*,4011574,2018-01,CVE-2018-0805
office,2016-*,4011574,2018-01,CVE-2018-0805
office,2016-*,4011574,2018-01,CVE-2018-0804
office,2016-*,4011574,2018-01,CVE-2018-0804
office,2016-*,4011095,2017-12,CVE-2017-11934
office,2016-*,4011095,2017-12,CVE-2017-11934
office,2016-*,4011262,2017-11,CVE-2017-11882
office,2016-*,4011262,2017-11,CVE-2017-11882
office,2016-*,4022176,2017-10,ADV170017
office,2016-*,4022172,2017-10,ADV170017
office,2016-*,4022176,2017-10,ADV170017
office,2016-*,4022172,2017-10,ADV170017
office,2016-*,4011126,2017-09,ADV170015
office,2016-*,4011038,2017-09,ADV170015
office,2016-*,4011126,2017-09,ADV170015
office,2016-*,4011038,2017-09,ADV170015
office,2016-*,3203474,2017-09,CVE-2017-8630
office,2016-*,3203474,2017-09,CVE-2017-8630
office,2016-*,3213551,2017-09,CVE-2017-8744
office,2016-*,3213551,2017-09,CVE-2017-8744
office,2016-*,3213545,2017-07,CVE-2017-8570
office,2016-*,3213545,2017-07,CVE-2017-8570
office,2016-*,3178667,2017-06,CVE-2017-8509
office,2016-*,3191882,2017-06,CVE-2017-8509
office,2016-*,3191943,2017-06,CVE-2017-8509
office,2016-*,3191944,2017-06,CVE-2017-8509
office,2016-*,3178667,2017-06,CVE-2017-8509
office,2016-*,3191882,2017-06,CVE-2017-8509
office,2016-*,3191943,2017-06,CVE-2017-8509
office,2016-*,3191944,2017-06,CVE-2017-8509
office,2016-*,3191944,2017-06,CVE-2017-8512
office,2016-*,3191944,2017-06,CVE-2017-8512
office,2016-*,3191944,2017-06,CVE-2017-8511
office,2016-*,3191944,2017-06,CVE-2017-8511
office,2016-*,3203383,2017-06,CVE-2017-8510
office,2016-*,3203383,2017-06,CVE-2017-8510
office,2016-*,3114375,2017-05,CVE-2017-0261
office,2016-*,3114375,2017-05,CVE-2017-0261
office,2016-*,3114375,2017-05,CVE-2017-0262
office,2016-*,3114375,2017-05,CVE-2017-0262
office,2016-*,3191863,2017-05,CVE-2017-0281
office,2016-*,3191881,2017-05,CVE-2017-0281
office,2016-*,3191863,2017-05,CVE-2017-0281
office,2016-*,3191881,2017-05,CVE-2017-0281
office,2016-*,3178702,2017-04,ADV170005
office,2016-*,3178702,2017-04,ADV170005
office,2016-*,3178703,2017-04,CVE-2017-0199
office,2016-*,3178703,2017-04,CVE-2017-0199
office,2016-*,3127986,2016-12,CVE-2016-7275
office,2016-*,3127986,2016-12,CVE-2016-7275
office,2016-*,3115135,2016-11,CVE-2016-7245
office,2016-*,3115135,2016-11,CVE-2016-7245
office,2016-*,3115415,2016-08,CVE-2016-3313
office,2016-*,3115415,2016-08,CVE-2016-3313
office,2016-*,3115144,2016-06,CVE-2016-0025
office,2016-*,3115144,2016-06,CVE-2016-0025
office,2016-*,3104540,2015-11,CVE-2015-6093
office,2016-*,3089664,2015-09,CVE-2015-2545
office,2016-*,4486757,2020-12,
office,2016-*,4486757,2020-12,
office,2016-*,4486756,2020-12,
office,2016-*,4486756,2020-12,
office,2016-*,4486754,2020-12,
office,2016-*,4486754,2020-12,
office,2016-*,4486753,2020-12,
office,2016-*,4486749,2020-12,
office,2016-*,4486749,2020-12,
office,2016-*,4486748,2020-12,
office,2016-*,4486748,2020-12,
office,2016-*,4486747,2020-12,
office,2016-*,4486747,2020-12,
office,2016-*,4486746,2020-12,
office,2016-*,4486746,2020-12,
office,2016-*,4486745,2020-12,
office,2016-*,4486745,2020-12,
office,2016-*,4486722,2020-11,
office,2016-*,4486722,2020-11,
office,2016-*,4486720,2020-11,
office,2016-*,4486720,2020-11,
office,2016-*,4486721,2020-12,
office,2016-*,4486719,2020-11,
office,2016-*,4486719,2020-11,
office,2016-*,4486718,2020-11,
office,2016-*,4486718,2020-11,
office,2016-*,4486717,2020-11,
office,2016-*,4486716,2020-12,
office,2016-*,4486716,2020-12,
office,2016-*,4486712,2020-11,
office,2016-*,4486712,2020-11,
office,2016-*,4486710,2020-11,
office,2016-*,4486710,2020-11,
office,2016-*,4486709,2020-12,
office,2016-*,4486709,2020-12,
office,2016-*,4486682,2020-10,
office,2016-*,4486682,2020-10,
office,2016-*,4486679,2020-10,
office,2016-*,4486679,2020-10,
office,2016-*,4486680,2020-11,
office,2016-*,4486680,2020-11,
office,2016-*,4486677,2020-10,
office,2016-*,4486678,2020-10,
office,2016-*,4486678,2020-10,
office,2016-*,4486671,2020-10,
office,2016-*,4486671,2020-10,
office,2016-*,4486669,2020-10,
office,2016-*,4486669,2020-10,
office,2016-*,4486668,2020-12,
office,2016-*,4486668,2020-12,
office,2016-*,4484512,2020-09,
office,2016-*,4484513,2020-09,
office,2016-*,4484513,2020-09,
office,2016-*,4484510,2020-09,
office,2016-*,4484510,2020-09,
office,2016-*,4484511,2020-09,
office,2016-*,4484511,2020-09,
office,2016-*,4484506,2020-09,
office,2016-*,4484507,2020-09,
office,2016-*,4484507,2020-09,
office,2016-*,4484508,2020-11,
office,2016-*,4484508,2020-11,
office,2016-*,4484502,2020-10,
office,2016-*,4484502,2020-10,
office,2016-*,4484501,2020-09,
office,2016-*,4484501,2020-09,
office,2016-*,4484500,2020-09,
office,2016-*,4484500,2020-09,
office,2016-*,4484476,2020-08,
office,2016-*,4484477,2020-08,
office,2016-*,4484477,2020-08,
office,2016-*,4484475,2020-08,
office,2016-*,4484475,2020-08,
office,2016-*,4484466,2020-09,
office,2016-*,4484466,2020-09,
office,2016-*,4484439,2020-07,
office,2016-*,4484439,2020-07,
office,2016-*,4484441,2020-07,
office,2016-*,4484441,2020-07,
office,2016-*,4484440,2020-07,
office,2016-*,4484437,2020-07,
office,2016-*,4484437,2020-07,
office,2016-*,4484433,2020-07,
office,2016-*,4484433,2020-07,
office,2016-*,4484431,2020-08,
office,2016-*,4484431,2020-08,
office,2016-*,4484417,2020-10,
office,2016-*,4484417,2020-10,
office,2016-*,4484418,2020-08,
office,2016-*,4484418,2020-08,
office,2016-*,4484399,2020-06,
office,2016-*,4484399,2020-06,
office,2016-*,4484397,2020-11,
office,2016-*,4484397,2020-11,
office,2016-*,4484395,2020-09,
office,2016-*,4484395,2020-09,
office,2016-*,4484398,2020-06,
office,2016-*,4484398,2020-06,
office,2016-*,4484394,2020-06,
office,2016-*,4484394,2020-06,
office,2016-*,4484392,2020-06,
office,2016-*,4484392,2020-06,
office,2016-*,4484393,2020-12,
office,2016-*,4484393,2020-12,
office,2016-*,4484342,2020-06,
office,2016-*,4484342,2020-06,
office,2016-*,4484339,2020-05,
office,2016-*,4484339,2020-05,
office,2016-*,4484340,2020-08,
office,2016-*,4484340,2020-08,
office,2016-*,4484341,2020-05,
office,2016-*,4484341,2020-05,
office,2016-*,4484335,2020-06,
office,2016-*,4484335,2020-06,
office,2016-*,4484337,2020-05,
office,2016-*,4484337,2020-05,
office,2016-*,4484334,2020-12,
office,2016-*,4484334,2020-12,
office,2016-*,4484333,2020-10,
office,2016-*,4484333,2020-10,
office,2016-*,4484329,2020-06,
office,2016-*,4484329,2020-06,
office,2016-*,4484327,2020-05,
office,2016-*,4484327,2020-05,
office,2016-*,4484328,2020-05,
office,2016-*,4484328,2020-05,
office,2016-*,4484287,2020-04,
office,2016-*,4484287,2020-04,
office,2016-*,4484269,2020-04,
office,2016-*,4484269,2020-04,
office,2016-*,4484251,2020-09,
office,2016-*,4484251,2020-09,
office,2016-*,4484248,2020-04,
office,2016-*,4484248,2020-04,
office,2016-*,4484247,2020-03,
office,2016-*,4484247,2020-03,
office,2016-*,4484249,2020-02,
office,2016-*,4484249,2020-02,
office,2016-*,4484244,2020-04,
office,2016-*,4484244,2020-04,
office,2016-*,4484246,2020-04,
office,2016-*,4484246,2020-04,
office,2016-*,4484219,2020-01,
office,2016-*,4484219,2020-01,
office,2016-*,4484216,2020-01,
office,2016-*,4484216,2020-01,
office,2016-*,4484214,2020-04,
office,2016-*,4484214,2020-04,
office,2016-*,4484174,2020-07,
office,2016-*,4484174,2020-07,
office,2016-*,4484170,2019-12,
office,2016-*,4484170,2019-12,
office,2016-*,4484171,2020-06,
office,2016-*,4484171,2020-06,
office,2016-*,4484166,2019-12,
office,2016-*,4484166,2019-12,
office,2016-*,4484167,2020-04,
office,2016-*,4484167,2020-04,
office,2016-*,4484138,2019-11,
office,2016-*,4484138,2019-11,
office,2016-*,4484145,2019-11,
office,2016-*,4484145,2019-11,
office,2016-*,4484136,2020-03,
office,2016-*,4484136,2020-03,
office,2016-*,4484134,2019-11,
office,2016-*,4484134,2019-11,
office,2016-*,4484106,2020-04,
office,2016-*,4484106,2020-04,
